pair_id,condition,task_id,domain,score_base,score_manipulated,delta,abs_delta,direction_is_positive,base_chars,manip_chars,delta_chars,base_tokens,manip_tokens,delta_tokens
pair_29_persona,persona,task_supercooling_liquids,condensed_matter,-0.38700616290172807,-1.1391729564388657,-0.7521667935371377,0.7521667935371377,False,237,225,-12,29,27,-2
pair_29_length,length,task_supercooling_liquids,condensed_matter,1.8454761341190238,0.771816175475665,-1.0736599586433588,1.0736599586433588,False,57,322,265,9,42,33
pair_29_format,format,task_supercooling_liquids,condensed_matter,0.7212001493872386,-0.14119064610072019,-0.8623907954879588,0.8623907954879588,False,169,226,57,22,29,7
pair_29_lexical,lexical,task_supercooling_liquids,condensed_matter,0.7212001493872386,1.3733955384023502,0.6521953890151115,0.6521953890151115,True,169,176,7,22,22,0
pair_29_context,context,task_supercooling_liquids,condensed_matter,0.7212001493872386,-0.06495184359992226,-0.7861519929871609,0.7861519929871609,False,169,291,122,22,38,16
pair_30_persona,persona,task_piezoelectric_oscillators,electronic_engineering,0.27442854785366316,-0.11928869979218021,-0.39371724764584337,0.39371724764584337,False,244,220,-24,29,27,-2
pair_30_length,length,task_piezoelectric_oscillators,electronic_engineering,1.7045130338179222,0.6450045854429958,-1.0595084483749264,1.0595084483749264,False,63,350,287,11,42,31
pair_30_format,format,task_piezoelectric_oscillators,electronic_engineering,1.2549985957576446,-0.2674883172868853,-1.52248691304453,1.52248691304453,False,164,217,53,21,28,7
pair_30_lexical,lexical,task_piezoelectric_oscillators,electronic_engineering,1.2549985957576446,0.7042699391728193,-0.5507286565848253,0.5507286565848253,False,164,194,30,21,22,1
pair_30_context,context,task_piezoelectric_oscillators,electronic_engineering,1.254998595757645,0.7528844027696562,-0.5021141929879889,0.5021141929879889,False,164,278,114,21,37,16
